"Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","Club"
"Éder Militão","3","Def","1.85 m","78 kg","Brazil","30","3",NA,NA,"0","27","33","4","0","5","22","8","Real Madrid"
"David Alaba","4","Def","1.8 m","78 kg","Austria","21","2",NA,NA,"3","7","3","3","0","1","12","3","Real Madrid"
"Jesús Vallejo","5","Def","1.83 m","78 kg","Spain","1","1",NA,NA,"0","0","0","0","0","0","2","1","Real Madrid"
"Nacho","6","Def","1.8 m","76 kg","Spain","24","8",NA,NA,"1","16","13","6","0","1","10","5","Real Madrid"
"Álvaro Odriozola","16","Def","1.75 m","66 kg","Spain","3","3",NA,NA,"0","0","2","0","0","0","1","0","Real Madrid"
"Antonio Rüdiger","22","Def","1.91 m","83 kg","Germany","29","6",NA,NA,"0","9","5","1","0","1","17","4","Real Madrid"
"Ferland Mendy","23","Def","1.8 m","73 kg","France","16","1",NA,NA,"1","4","18","2","0","0","1","0","Real Madrid"
"Vinicius Augusto","37","Def","1.75 m","66 kg","Brazil","--","--",NA,NA,"--","--","--","--","--","--","--","--","Real Madrid"
"Marvel","41","Def","1.8 m","--","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Real Madrid"
"Toni Kroos","8","Mid","1.83 m","76 kg","Germany","26","4",NA,NA,"3","20","27","1","1","2","25","8","Real Madrid"
"Luka Modric","10","Mid","1.73 m","66 kg","Croatia","29","12",NA,NA,"4","17","15","6","0","4","30","6","Real Madrid"
"Eduardo Camavinga","12","Mid","1.83 m","68 kg","France","33","15",NA,NA,"1","34","57","6","0","0","18","3","Real Madrid"
"Federico Valverde","15","Mid","1.83 m","78 kg","Uruguay","31","4",NA,NA,"4","11","15","2","0","7","58","20","Real Madrid"
"Lucas Vázquez","17","Mid","1.73 m","68 kg","Spain","20","10",NA,NA,"1","19","13","1","0","4","13","7","Real Madrid"
"Aurélien Tchouaméni","18","Mid","1.88 m","81 kg","France","29","7",NA,NA,"4","31","32","1","0","0","36","6","Real Madrid"
"Dani Ceballos","19","Mid","1.78 m","68 kg","Spain","26","10",NA,NA,"3","15","33","6","0","0","17","4","Real Madrid"
"Mario Martín","31","Mid","--","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Real Madrid"
"Carlos Dotor","32","Mid","1.8 m","68 kg","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Real Madrid"
"Sergio Arribas","33","Mid","1.73 m","63 kg","Spain","2","2",NA,NA,"0","0","0","0","0","0","1","0","Real Madrid"
"Nico","40","Mid","--","--","Argentina","0","0",NA,NA,"0","0","0","0","0","0","0","0","Real Madrid"
"Eden Hazard","7","Fwd","1.75 m","73 kg","Belgium","6","4",NA,NA,"1","1","9","0","0","0","2","0","Real Madrid"
"Karim Benzema","9","Fwd","1.85 m","81 kg","France","21","0",NA,NA,"3","9","5","1","0","17","96","37","Real Madrid"
"Marco Asensio","11","Fwd","1.83 m","76 kg","Spain","28","14",NA,NA,"6","8","14","1","0","9","55","23","Real Madrid"
"Vinícius Júnior","20","Fwd","1.75 m","73 kg","Brazil","31","1",NA,NA,"10","45","118","10","0","10","74","33","Real Madrid"
"Rodrygo","21","Fwd","1.75 m","63 kg","Brazil","30","8",NA,NA,"8","19","43","3","0","6","87","26","Real Madrid"
"Mariano","24","Fwd","1.8 m","76 kg","Dominican Republic","9","8",NA,NA,"0","3","0","2","0","0","5","0","Real Madrid"
"Álvaro Rodríguez","39","Fwd","1.93 m","81 kg","Uruguay","5","5",NA,NA,"2","2","0","0","0","1","2","1","Real Madrid"
"Ivo Grbic","1","GK","1.96 m","83 kg","Croatia","7","2","7","6","0","0","1","2","0",NA,NA,NA,"Atletico Madrid"
"Jan Oblak","13","GK","1.88 m","87 kg","Slovenia","28","0","45","20","0","0","3","1","0",NA,NA,NA,"Atletico Madrid"
"Antonio Gomis","31","GK","--","--","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Atletico Madrid"
"Alejandro Iturbe","33","GK","--","--","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Atletico Madrid"
"Sergio Mestre","51","GK","--","--","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Atletico Madrid"
"José María Giménez","2","Def","1.85 m","77 kg","Uruguay","24","2",NA,NA,"1","18","6","8","0","2","20","6","Atletico Madrid"
"Sergio Reguilón","3","Def","1.78 m","68 kg","Spain","6","6",NA,NA,"0","2","4","2","1","0","0","0","Atletico Madrid"
"Matt Doherty","12","Def","1.85 m","78 kg","Republic of Ireland","2","2",NA,NA,"0","1","0","0","0","0","0","0","Atletico Madrid"
"Stefan Savic","15","Def","1.88 m","81 kg","Montenegro","21","0",NA,NA,"0","30","8","5","2","0","2","1","Atletico Madrid"
"Nahuel Molina","16","Def","1.75 m","68 kg","Argentina","28","0",NA,NA,"2","21","14","7","1","3","18","5","Atletico Madrid"
"Alberto Moreno","18","Def","1.7 m","63 kg","Spain","21","9",NA,NA,"1","24","7","5","0","0","12","1","Atletico Madrid"
"Mario Hermoso","22","Def","1.83 m","73 kg","Spain","21","2",NA,NA,"1","23","8","4","2","3","12","5","Atletico Madrid"
"Reinildo Mandava","23","Def","1.8 m","73 kg","Mozambique","22","0",NA,NA,"0","31","30","4","0","0","6","0","Atletico Madrid"
"Sergio Diez","30","Def","1.78 m","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Atletico Madrid"
"Marco Moreno","36","Def","1.93 m","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Atletico Madrid"
"Ilias Kostis","37","Def","1.88 m","--","Cyprus","--","--",NA,NA,"--","--","--","--","--","--","--","--","Atletico Madrid"
"Adrian Corral","48","Def","1.83 m","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Atletico Madrid"
"Geoffrey Kondogbia","4","Mid","1.88 m","78 kg","Central African Republic","18","8",NA,NA,"2","16","19","5","0","0","11","0","Atletico Madrid"
"Rodrigo De Paul","5","Mid","1.8 m","68 kg","Argentina","26","6",NA,NA,"5","24","43","4","0","2","19","5","Atletico Madrid"
"Koke","6","Mid","1.75 m","77 kg","Spain","28","3",NA,NA,"3","18","25","4","0","0","12","1","Atletico Madrid"
"Thomas Lemar","11","Mid","1.7 m","63 kg","France","25","9",NA,NA,"3","7","15","1","0","1","13","6","Atletico Madrid"
"Marcos Llorente","14","Mid","1.83 m","73 kg","Spain","22","1",NA,NA,"2","29","13","5","0","1","22","8","Atletico Madrid"
"Saúl Ñíguez","17","Mid","1.83 m","76 kg","Spain","27","20",NA,NA,"1","28","2","8","0","1","12","5","Atletico Madrid"
"Axel Witsel","20","Mid","1.85 m","81 kg","Belgium","28","8",NA,NA,"0","16","13","2","0","0","5","0","Atletico Madrid"
"Yannick Carrasco","21","Mid","1.8 m","73 kg","Belgium","31","9",NA,NA,"3","20","18","2","0","5","58","18","Atletico Madrid"
"Pablo Barrios","24","Mid","1.8 m","73 kg","Spain","16","11",NA,NA,"1","6","9","3","0","0","11","2","Atletico Madrid"
"Aitor Gismera","39","Mid","--","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Atletico Madrid"
"Antoine Griezmann","8","Fwd","1.75 m","73 kg","France","33","7",NA,NA,"12","20","34","2","0","13","92","36","Atletico Madrid"
"Memphis Depay","9","Fwd","1.78 m","78 kg","Netherlands","10","5",NA,NA,"0","4","8","1","0","5","16","7","Atletico Madrid"
"Ángel Correa","10","Fwd","1.7 m","68 kg","Argentina","30","19",NA,NA,"1","11","17","1","1","6","37","13","Atletico Madrid"
"Álvaro Morata","19","Fwd","1.91 m","83 kg","Spain","33","12",NA,NA,"2","35","53","4","0","13","67","29","Atletico Madrid"
"Diego Bri","26","Fwd","--","--","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Atletico Madrid"
"Carlos Martín","29","Fwd","--","--","Spain","1","1",NA,NA,"0","0","0","0","0","0","0","0","Atletico Madrid"
"Álex Remiro","1","GK","1.91 m","78 kg","Spain","34","0","69","29","0","0","4","1","0",NA,NA,NA,"Real Sociedad"
"Andoni Zubiaurre","13","GK","1.91 m","78 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Sociedad"
"Unai Marrero","32","GK","1.88 m","--","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Sociedad"
"Egoitz Arana","45","GK","--","--","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Sociedad"
"Alex Sola","2","Def","1.78 m","73 kg","Spain","10","7",NA,NA,"0","3","8","1","0","0","4","1","Real Sociedad"
"Aritz Elustondo","6","Def","1.8 m","71 kg","Spain","22","8",NA,NA,"1","18","9","4","1","0","7","0","Real Sociedad"
"Aihen Muñoz","12","Def","1.75 m","68 kg","Spain","21","3",NA,NA,"1","26","13","2","0","0","6","2","Real Sociedad"
"Diego Rico","15","Def","1.8 m","78 kg","Spain","18","2",NA,NA,"0","26","25","3","0","0","6","1","Real Sociedad"
"Gorosabel","18","Def","1.75 m","68 kg","Spain","23","6",NA,NA,"0","19","16","3","0","0","10","0","Real Sociedad"
"Jon Pacheco Dozagarat","20","Def","1.83 m","77 kg","Spain","13","3",NA,NA,"0","12","9","2","0","0","2","0","Real Sociedad"
"Robin Le Normand","24","Def","1.88 m","78 kg","France","30","2",NA,NA,"0","37","27","6","0","0","10","2","Real Sociedad"
"Aritz Arambarri","26","Def","1.85 m","76 kg","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Real Sociedad"
"Jonathan Gomez","35","Def","1.75 m","71 kg","USA","0","0",NA,NA,"0","0","0","0","0","0","0","0","Real Sociedad"
"Martín Zubimendi","3","Mid","1.8 m","73 kg","Spain","32","1",NA,NA,"2","46","29","12","0","1","12","2","Real Sociedad"
"Asier Illarramendi","4","Mid","1.78 m","73 kg","Spain","21","11",NA,NA,"0","18","12","4","0","1","10","3","Real Sociedad"
"Igor Zubeldia","5","Mid","1.8 m","73 kg","Spain","27","2",NA,NA,"1","39","10","8","0","1","8","2","Real Sociedad"
"Mikel Merino","8","Mid","1.88 m","83 kg","Spain","29","4",NA,NA,"9","65","45","5","1","1","39","14","Real Sociedad"
"Takefusa Kubo","14","Mid","1.73 m","63 kg","Japan","31","5",NA,NA,"4","29","41","2","0","8","65","27","Real Sociedad"
"Ander Guevara","16","Mid","1.8 m","73 kg","Spain","7","5",NA,NA,"0","4","3","2","0","0","1","0","Real Sociedad"
"Robert Navarro","17","Mid","1.78 m","68 kg","Spain","17","16",NA,NA,"0","8","6","2","0","0","11","5","Real Sociedad"
"David Silva","21","Mid","1.7 m","67 kg","Spain","27","3",NA,NA,"5","29","33","3","0","2","29","12","Real Sociedad"
"Beñat Turrientes","22","Mid","1.8 m","68 kg","Spain","6","5",NA,NA,"0","1","1","0","0","0","0","0","Real Sociedad"
"Brais Méndez","23","Mid","1.88 m","76 kg","Spain","31","4",NA,NA,"3","57","47","6","0","7","54","19","Real Sociedad"
"Urko Gonzalez","30","Mid","1.88 m","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Real Sociedad"
"Jon Ander Olasagasti","31","Mid","1.75 m","73 kg","Spain","3","3",NA,NA,"0","1","4","0","0","0","3","1","Real Sociedad"
"Jon Magunacelaya","34","Mid","--","--","Spain","2","2",NA,NA,"0","1","1","0","0","0","1","1","Real Sociedad"
"Pablo Marín","42","Mid","--","--","Spain","9","6",NA,NA,"0","11","2","1","0","0","8","4","Real Sociedad"
"Martín Merquelanz","","Fwd","1.75 m","72 kg","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Real Sociedad"
"Ander Barrenetxea","7","Fwd","1.78 m","73 kg","Spain","19","12",NA,NA,"0","20","11","4","0","3","10","6","Real Sociedad"
"Carlos Fernández","9","Fwd","1.85 m","72 kg","Spain","20","13",NA,NA,"0","13","14","5","0","1","16","3","Real Sociedad"
"Mikel Oyarzabal","10","Fwd","1.8 m","78 kg","Spain","20","8",NA,NA,"1","9","16","1","0","4","17","9","Real Sociedad"
"Mohamed Ali-Cho","11","Fwd","1.8 m","66 kg","France","16","12",NA,NA,"2","7","12","1","0","0","18","9","Real Sociedad"
"Alexander Sørloth","19","Fwd","1.96 m","88 kg","Norway","30","5",NA,NA,"1","27","14","4","0","10","51","22","Real Sociedad"
"Sadiq Umar","25","Fwd","1.93 m","73 kg","Nigeria","5","1",NA,NA,"0","10","3","1","0","3","8","4","Real Sociedad"
"Ander Martín","28","Fwd","1.75 m","78 kg","Spain","3","3",NA,NA,"0","2","0","0","0","0","0","0","Real Sociedad"
"Claudio Bravo","1","GK","1.83 m","78 kg","Chile","7","0","22","5","0","0","0","1","0",NA,NA,NA,"Real Betis"
"Rui Silva","13","GK","1.91 m","91 kg","Portugal","26","0","57","31","0","0","2","2","0",NA,NA,NA,"Real Betis"
"Dani Martín","25","GK","1.88 m","76 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Betis"
"Francisco Vieites","30","GK","1.96 m","87 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Betis"
"Germán García","31","GK","--","--","Spain","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Real Betis"
"Martín Montoya","2","Def","1.75 m","73 kg","Spain","6","0",NA,NA,"0","3","6","1","0","0","1","0","Real Betis"
"Edgar González","3","Def","1.93 m","78 kg","Spain","22","7",NA,NA,"0","22","10","6","2","0","7","2","Real Betis"
"Víctor Ruiz","6","Def","1.83 m","93 kg","Spain","10","5",NA,NA,"0","4","2","0","0","0","1","0","Real Betis"
"Germán Pezzella","16","Def","1.88 m","82 kg","Argentina","27","2",NA,NA,"0","21","13","3","2","0","10","0","Real Betis"
"Luiz Felipe","19","Def","1.88 m","78 kg","Italy","20","1",NA,NA,"0","9","9","2","3","0","3","1","Real Betis"
"Abner","20","Def","1.83 m","73 kg","Brazil","11","6",NA,NA,"0","8","2","2","0","0","4","1","Real Betis"
"Youssouf Sabaly","23","Def","1.75 m","67 kg","Senegal","19","4",NA,NA,"1","17","29","1","0","0","9","1","Real Betis"
"Aitor Ruibal","24","Def","1.75 m","73 kg","Spain","23","9",NA,NA,"0","20","17","3","1","0","12","5","Real Betis"
"Francisco Delgado","32","Def","1.78 m","62 kg","Spain","1","1",NA,NA,"0","0","0","0","0","0","0","0","Real Betis"
"Juan Miranda","33","Def","1.85 m","76 kg","Spain","17","4",NA,NA,"0","9","17","1","0","3","16","6","Real Betis"
"Ricardo Visus","34","Def","1.93 m","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Real Betis"
"Félix Martí","35","Def","--","--","Spain","1","0",NA,NA,"0","2","1","0","0","0","0","0","Real Betis"
"Paul Akouokou","4","Mid","1.8 m","68 kg","Ivory Coast","10","7",NA,NA,"0","6","3","2","0","0","3","1","Real Betis"
"Guido Rodríguez","5","Mid","1.85 m","78 kg","Argentina","29","1",NA,NA,"0","35","56","7","0","1","17","6","Real Betis"
"Sergio Canales","10","Mid","1.75 m","63 kg","Spain","26","3",NA,NA,"2","9","30","3","2","4","32","8","Real Betis"
"William Carvalho","14","Mid","1.88 m","83 kg","Portugal","29","2",NA,NA,"0","25","35","6","1","3","23","8","Real Betis"
"Joaquín","17","Mid","1.78 m","73 kg","Spain","17","16",NA,NA,"1","1","7","2","0","0","6","1","Real Betis"
"Andrés Guardado","18","Mid","1.7 m","58 kg","Mexico","22","7",NA,NA,"1","14","9","6","0","1","6","2","Real Betis"
"Rodrigo Sánchez","28","Mid","1.68 m","62 kg","Spain","25","7",NA,NA,"3","5","36","0","0","2","14","5","Real Betis"
"Juan Cruz","29","Mid","1.78 m","72 kg","Spain","5","4",NA,NA,"0","3","2","0","0","1","5","2","Real Betis"
"Daniel Pérez","37","Mid","1.73 m","--","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Real Betis"
"Enrique Fernández","40","Mid","1.78 m","--","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Real Betis"
"Jose Alonso","41","Mid","1.6 m","58 kg","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Real Betis"
"Juanmi","7","Fwd","1.73 m","68 kg","Spain","17","9",NA,NA,"0","10","17","3","0","4","18","7","Real Betis"
"Nabil Fekir","8","Fwd","1.73 m","72 kg","France","15","3",NA,NA,"2","17","39","5","1","2","25","5","Real Betis"
"Borja Iglesias","9","Fwd","1.88 m","86 kg","Spain","30","4",NA,NA,"3","33","49","1","1","12","53","22","Real Betis"
"Luiz Henrique","11","Fwd","1.8 m","77 kg","Brazil","30","11",NA,NA,"3","20","41","5","0","1","41","15","Real Betis"
"Willian José","12","Fwd","1.88 m","92 kg","Brazil","25","21",NA,NA,"0","6","4","1","0","2","20","6","Real Betis"
"Ayoze Pérez","21","Fwd","1.78 m","72 kg","Spain","14","2",NA,NA,"1","21","22","3","0","1","24","9","Real Betis"
"Aaron Ramsdale","1","GK","1.88 m","87 kg","England","35","0","91","38","0","0","4","1","0",NA,NA,NA,"Arsenal"
"Matt Turner","30","GK","1.91 m","83 kg","USA","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Arsenal"
"Karl Hein","31","GK","1.93 m","86 kg","Estonia","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Arsenal"
"James Hillson","56","GK","--","--","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Arsenal"
"Kieran Tierney","3","Def","1.78 m","68 kg","Scotland","24","19",NA,NA,"1","4","8","0","0","0","6","2","Arsenal"
"Ben White","4","Def","1.85 m","76 kg","England","35","2",NA,NA,"5","25","27","5","0","2","10","2","Arsenal"
"Gabriel","6","Def","1.91 m","78 kg","Brazil","35","0",NA,NA,"0","20","36","4","0","3","29","8","Arsenal"
"William Saliba","12","Def","1.93 m","92 kg","France","27","0",NA,NA,"1","18","13","4","0","2","7","4","Arsenal"
"Jakub Kiwior","15","Def","1.88 m","73 kg","Poland","4","2",NA,NA,"0","0","0","0","0","0","0","0","Arsenal"
"Rob Holding","16","Def","1.88 m","81 kg","England","14","8",NA,NA,"0","5","2","0","0","1","5","2","Arsenal"
"Takehiro Tomiyasu","18","Def","1.88 m","68 kg","Japan","21","15",NA,NA,"1","6","3","2","0","0","2","0","Arsenal"
"Lino Sousa","96","Def","1.85 m","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Arsenal"
"Reuell Walters","97","Def","1.83 m","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Arsenal"
"Thomas Partey","5","Mid","1.85 m","77 kg","Ghana","30","4",NA,NA,"0","33","20","4","0","3","27","4","Arsenal"
"Bukayo Saka","7","Mid","1.78 m","72 kg","England","35","1",NA,NA,"11","35","58","6","0","13","81","28","Arsenal"
"Martin Ødegaard","8","Mid","1.78 m","68 kg","Norway","34","0",NA,NA,"8","27","24","4","0","15","87","29","Arsenal"
"Emile Smith Rowe","10","Mid","1.83 m","78 kg","England","10","10",NA,NA,"1","1","1","0","0","0","4","1","Arsenal"
"Jorginho","20","Mid","1.8 m","63 kg","Italy","29","8",NA,NA,"1","15","35","4","0","2","8","3","Arsenal"
"Fabio Vieira","21","Mid","1.7 m","58 kg","Portugal","20","17",NA,NA,"2","3","5","0","0","1","15","2","Arsenal"
"Mohamed Elneny","25","Mid","1.78 m","72 kg","Egypt","5","4",NA,NA,"0","1","1","0","0","0","0","0","Arsenal"
"Granit Xhaka","34","Mid","1.85 m","78 kg","Switzerland","34","1",NA,NA,"8","22","38","5","0","5","37","12","Arsenal"
"Oleksandr Zinchenko","35","Mid","1.75 m","63 kg","Ukraine","27","1",NA,NA,"2","6","11","3","0","1","28","7","Arsenal"
"Mauro Bandeira","41","Mid","1.78 m","--","Portugal","--","--",NA,NA,"--","--","--","--","--","--","--","--","Arsenal"
"Catalin Cirjan","44","Mid","1.75 m","58 kg","Romania","--","--",NA,NA,"--","--","--","--","--","--","--","--","Arsenal"
"Matthew Smith","72","Mid","1.75 m","61 kg","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Arsenal"
"Ethan Nwaneri","83","Mid","1.65 m","--","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","Arsenal"
"Amario Cozier-Duberry","85","Mid","--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Arsenal"
"Bradley Ibrahim","89","Mid","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Arsenal"
"Gabriel Jesus","9","Fwd","1.75 m","73 kg","Brazil","23","2",NA,NA,"5","36","55","5","0","10","71","27","Arsenal"
"Gabriel Martinelli","11","Fwd","1.78 m","73 kg","Brazil","35","2",NA,NA,"5","38","35","3","0","15","75","28","Arsenal"
"Edward Nketiah","14","Fwd","1.75 m","72 kg","England","27","18",NA,NA,"1","25","25","3","0","4","40","14","Arsenal"
"Leandro Trossard","19","Fwd","1.73 m","59 kg","Belgium","33","9",NA,NA,"10","18","26","1","0","8","49","20","Arsenal"
"Reiss Nelson","24","Fwd","1.75 m","71 kg","England","9","9",NA,NA,"2","5","4","0","0","3","8","6","Arsenal"
"Khayon Edwards","47","Fwd","1.8 m","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Arsenal"
"Charles Sagoe Junior","71","Fwd","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Arsenal"
"Stefan Ortega","18","GK","1.85 m","87 kg","Germany","1","0","2","0","0","0","0","0","0",NA,NA,NA,"Manchester City"
"Ederson","31","GK","1.88 m","86 kg","Brazil","33","0","31","30","1","1","3","3","0",NA,NA,NA,"Manchester City"
"Scott Carson","33","GK","1.88 m","83 kg","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Manchester City"
"Kyle Walker","2","Def","1.78 m","78 kg","England","23","5",NA,NA,"0","10","9","3","0","0","3","1","Manchester City"
"Rúben Dias","3","Def","1.85 m","76 kg","Portugal","25","4",NA,NA,"0","18","7","3","0","0","9","2","Manchester City"
"John Stones","5","Def","1.88 m","78 kg","England","21","1",NA,NA,"2","10","8","2","0","2","12","4","Manchester City"
"Nathan Aké","6","Def","1.8 m","73 kg","Netherlands","25","4",NA,NA,"0","11","13","2","0","1","9","2","Manchester City"
"Aymeric Laporte","14","Def","1.88 m","86 kg","Spain","9","1",NA,NA,"0","2","4","0","0","0","8","1","Manchester City"
"Manuel Akanji","25","Def","1.85 m","91 kg","Switzerland","27","5",NA,NA,"1","24","10","2","0","0","15","2","Manchester City"
"Rico Lewis","82","Def","1.7 m","--","England","11","4",NA,NA,"0","6","14","1","0","0","4","1","Manchester City"
"Kalvin Phillips","4","Mid","1.78 m","72 kg","England","8","8",NA,NA,"0","5","0","1","0","0","2","0","Manchester City"
"Ilkay Gündogan","8","Mid","1.8 m","78 kg","Germany","29","4",NA,NA,"3","19","24","0","0","6","48","16","Manchester City"
"Jack Grealish","10","Mid","1.75 m","76 kg","England","27","4",NA,NA,"7","25","76","4","0","5","40","13","Manchester City"
